Estacao,Data,Hora,TempMaxima,TempMinima,Temp Comp Media,
82795,02/01/2016,0000,32.5,,24.9,
82795,02/01/2016,1200,,20.9,,
82795,03/01/2016,0000,32.3,,25.42,
82795,03/01/2016,1200,,22.9,,
82795,04/01/2016,0000,32.4,,25.32,
82795,04/01/2016,1200,,20.7,,
82795,05/01/2016,0000,32.4,,25.3,
82795,05/01/2016,1200,,21.6,,
82795,06/01/2016,0000,32.4,,25.4,
82795,06/01/2016,1200,,21.3,,
82795,07/01/2016,0000,30.3,,25.04,
82795,07/01/2016,1200,,21.8,,
82795,08/01/2016,0000,28.8,,24.08,
82795,08/01/2016,1200,,21.9,,
82795,09/01/2016,0000,28.4,,22.72,
82795,09/01/2016,1200,,20.2,,
82795,10/01/2016,0000,26.1,,22,
82795,10/01/2016,1200,,18.6,,
82795,11/01/2016,0000,28.5,,23.7,
82795,11/01/2016,1200,,19.9,,
82795,12/01/2016,0000,28.7,,23.98,
82795,12/01/2016,1200,,21,,
82795,13/01/2016,0000,28.3,,24.12,
82795,13/01/2016,1200,,20.6,,
82795,14/01/2016,0000,29.3,,24.28,
82795,14/01/2016,1200,,22,,
82795,15/01/2016,0000,29.5,,24.66,
82795,15/01/2016,1200,,21.4,,
82795,16/01/2016,0000,30.1,,24.62,
82795,16/01/2016,1200,,21.5,,
82795,17/01/2016,0000,29.6,,24.66,
82795,17/01/2016,1200,,21.6,,
82795,18/01/2016,0000,23.9,,21.46,
82795,18/01/2016,1200,,20,,
82795,19/01/2016,0000,28.8,,23.22,
82795,19/01/2016,1200,,19,,
82795,20/01/2016,0000,26.6,,22.92,
82795,20/01/2016,1200,,21,,
82795,21/01/2016,0000,27.4,,23.34,
82795,21/01/2016,1200,,21.3,,
82795,22/01/2016,0000,25.4,,22.78,
82795,22/01/2016,1200,,20.6,,
82795,23/01/2016,0000,26,,22.6,
82795,23/01/2016,1200,,20.3,,
82795,24/01/2016,0000,27.6,,23.4,
82795,24/01/2016,1200,,20.8,,
82795,25/01/2016,0000,29.4,,24.12,
82795,25/01/2016,1200,,21.4,,
82795,26/01/2016,0000,30.1,,24.06,
82795,26/01/2016,1200,,20.8,,
82795,27/01/2016,0000,29.6,,24.22,
82795,27/01/2016,1200,,21.3,,
82795,28/01/2016,0000,29.5,,24.42,
82795,28/01/2016,1200,,21.3,,
82795,29/01/2016,0000,30.1,,22.44,
82795,29/01/2016,1200,,19.1,,
82795,30/01/2016,0000,28.1,,22.98,
82795,30/01/2016,1200,,18.5,,
82795,31/01/2016,0000,28.4,,23.18,
82795,31/01/2016,1200,,19.3,,
82795,11/02/2016,0000,30.4,,,
82795,11/02/2016,1200,,22.9,,
82795,12/02/2016,0000,31.4,,24.48,
82795,12/02/2016,1200,,20.3,,
82795,13/02/2016,0000,32,,24.98,
82795,13/02/2016,1200,,21.4,,
82795,14/02/2016,0000,31.5,,24.86,
82795,14/02/2016,1200,,21,,
82795,15/02/2016,0000,32,,24.64,
82795,15/02/2016,1200,,21.3,,
82795,16/02/2016,0000,29.9,,,
82795,16/02/2016,1200,,21.3,,
